연도,공항,노선,정기_부정기여부,여객성인도착,여객성인출발,여객유아도착,여객유아출발
2021,인천 INCHEON,국내선,정기,0,0,0,0
2021,인천 INCHEON,국제선,정기,3580970,3480161,19587,21554
2021,김포 GIMPO,국내선,정기,7689020,7593814,54662,55044
2021,김포 GIMPO,국제선,정기,61,105,1,1
2021,김해 GIMHAE,국내선,정기,2907159,2928898,15532,15797
2021,김해 GIMHAE,국제선,정기,54679,46387,492,439
2021,제주 JEJU,국내선,정기,9131290,9174160,62393,61412
2021,제주 JEJU,국제선,정기,235,620,1,1
2021,대구 DAEGU,국내선,정기,673104,671679,5112,5143
2021,대구 DAEGU,국제선,정기,5869,3433,41,23
2021,청주 CHEONGJU,국내선,정기,1050046,1048074,10216,10361
2021,청주 CHEONGJU,국제선,정기,0,0,0,0
2021,무안 MUAN,국내선,정기,0,0,0,0
2021,무안 MUAN,국제선,정기,2956,3361,8,6
2021,양양 YANGYANG,국내선,정기,106663,106591,982,986
2021,양양 YANGYANG,국제선,정기,701,541,1,0
2021,광주 GWANGJU,국내선,정기,696636,697381,5151,5236
2021,여수 YEOSU,국내선,정기,371984,372851,2836,2889
2021,울산 ULSAN,국내선,정기,276128,300326,2320,2448
2021,사천 SACHEON,국내선,정기,40917,41977,387,376
2021,포항 POHANG,국내선,정기,80164,81876,940,954
2021,군산 GUNSAN,국내선,정기,117818,122945,1079,1143
2021,원주 WONJU,국내선,정기,62189,62546,639,674
2021,인천 INCHEON,국내선,부정기,2428,0,1627,3311
2021,인천 INCHEON,국제선,부정기,241496,277606,1635,3311
2021,김포 GIMPO,국내선,부정기,645191,645592,4679,4764
2021,김포 GIMPO,국제선,부정기,24874,26483,154,183
2021,김해 GIMHAE,국내선,부정기,181138,185377,1327,1367
2021,김해 GIMHAE,국제선,부정기,60150,70855,556,887
2021,제주 JEJU,국내선,부정기,699245,698616,5563,5472
2021,제주 JEJU,국제선,부정기,8145,7729,50,44
2021,대구 DAEGU,국내선,부정기,13218,12167,92,101
2021,대구 DAEGU,국제선,부정기,5142,6529,24,45
2021,청주 CHEONGJU,국내선,부정기,7137,7255,37,54
2021,청주 CHEONGJU,국제선,부정기,1303,1239,4,4
2021,무안 MUAN,국내선,부정기,0,0,0,0
2021,무안 MUAN,국제선,부정기,4329,3963,6,8
2021,양양 YANGYANG,국내선,부정기,5909,5576,60,46
2021,양양 YANGYANG,국제선,부정기,847,856,3,4
2021,광주 GWANGJU,국내선,부정기,11414,11252,104,77
2021,여수 YEOSU,국내선,부정기,2527,2324,37,35
2021,울산 ULSAN,국내선,부정기,3656,4454,40,53
2021,사천 SACHEON,국내선,부정기,0,0,0,0
2021,포항 POHANG,국내선,부정기,818,768,13,8
2021,군산 GUNSAN,국내선,부정기,14392,13724,136,117
2021,원주 WONJU,국내선,부정기,430,398,6,8
